PERMVIT	MONTH	ROUTE	SP_JUR	HARM_EV	RELJCT2	TYP_INT	WRK_ZONE	REL_ROAD	LGT_COND	WEATHER	FATALS	STATE	A_RU	A_INTER	A_TOD	A_DOW	A_CT	A_MC	A_SPCRA	A_PED	A_ROLL	A_POLPUR	A_POSBAC	A_D15_20	A_D65PLS	A_D21_24	A_HR	A_DIST	A_DROWSY	clusters	drunkDr
2	1	2	0	12	2	2	0	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	3	2	1	2	1	2	2	1	0
5	1	2	0	12	1	1	0	1	1	1	2	1	1	2	1	1	2	2	2	2	1	2	3	2	2	1	2	2	2	1	0
1	1	4	0	42	1	1	0	5	1	1	1	1	1	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0	0
1	1	6	0	38	1	1	0	6	1	1	1	1	2	2	1	1	1	2	2	2	2	2	3	2	2	2	2	2	2	0	0
1	1	3	0	34	1	1	0	4	2	1	1	1	2	2	2	1	1	2	2	2	2	2	1	2	2	2	2	2	2	0	1
1	1	6	0	8	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	2	2	3	2	2	1	2	1	2	2	0
1	1	4	0	18	1	1	0	1	2	1	1	1	1	2	2	1	1	1	2	2	2	2	1	2	2	2	2	2	2	0	1
2	1	2	0	8	3	3	0	1	2	1	1	1	1	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	0
2	1	1	0	52	1	1	0	3	3	1	1	1	2	1	2	2	1	2	2	2	2	2	3	2	2	2	2	2	2	0	0
1	1	1	0	59	1	1	0	4	1	1	1	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	0
1	2	1	0	42	1	1	0	4	6	1	1	1	2	1	2	2	1	2	2	2	2	2	3	1	2	2	2	2	2	0	0
4	1	3	0	59	1	1	0	4	2	1	2	1	1	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	0	0
2	1	6	0	12	2	2	0	1	6	1	1	1	2	2	2	1	2	1	2	2	2	2	3	2	2	2	2	2	2	1	0
1	1	2	0	8	1	1	0	1	2	1	1	1	1	2	2	2	1	2	2	1	2	2	3	2	1	2	2	2	2	2	0
5	2	2	0	12	1	1	0	1	1	2	1	1	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	0
1	2	6	0	32	1	1	0	4	2	2	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	0
3	2	2	0	35	1	1	0	4	2	2	1	1	1	2	1	2	1	2	2	2	1	2	3	2	2	2	2	2	2	0	0
2	2	2	0	12	1	1	0	1	5	1	1	1	1	2	1	1	2	1	2	2	2	2	3	2	2	2	2	2	2	1	0
1	2	2	0	8	1	1	0	1	2	1	1	1	2	2	2	1	1	2	2	1	2	2	3	2	2	2	1	2	2	2	0
1	2	2	0	59	1	1	0	4	2	1	1	1	1	2	2	2	1	2	2	2	1	2	1	2	2	1	2	2	2	0	1
3	2	3	0	12	1	1	0	1	2	1	1	1	1	2	1	1	3	2	1	2	1	2	3	1	1	2	2	2	2	1	0
3	2	3	0	1	8	1	0	1	1	1	1	1	2	2	1	2	2	1	2	2	2	2	3	2	2	2	2	2	2	1	0
1	2	3	0	8	1	1	0	1	2	1	1	1	1	2	2	1	1	2	2	1	2	2	3	2	2	2	2	2	2	2	0
7	2	6	0	12	1	1	0	1	2	10	1	1	1	2	1	1	2	2	2	2	2	2	3	1	2	2	2	2	2	1	0
3	2	3	0	1	1	1	0	1	2	1	1	1	1	2	2	2	1	2	1	2	1	2	1	2	2	2	2	2	2	0	1
3	2	2	0	1	1	1	0	4	2	1	1	1	2	2	2	2	1	2	2	2	1	2	3	2	2	2	2	2	2	0	1
1	2	1	0	8	1	1	0	1	2	1	1	1	2	1	2	1	1	2	2	1	2	2	3	2	2	2	2	2	2	2	0
2	1	4	0	12	1	1	0	1	1	1	1	1	1	2	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	0
2	2	6	0	42	1	1	0	3	3	10	1	1	2	2	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	0	1
8	2	3	0	12	1	1	0	1	1	1	1	1	2	2	1	1	3	2	2	2	2	2	3	1	1	2	2	2	2	1	0
1	2	4	0	1	1	1	0	4	2	1	1	1	1	2	2	2	1	2	1	2	1	2	3	2	2	2	2	2	2	0	0
2	2	2	0	8	1	1	0	1	3	1	1	1	2	2	2	2	2	2	2	1	2	2	1	2	2	1	1	2	2	2	1
1	2	4	0	34	1	1	0	4	2	2	1	1	1	2	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2	0	1
4	2	3	0	12	1	1	0	1	6	3	1	1	2	2	2	2	2	2	1	2	2	2	3	1	2	2	2	2	2	1	0
1	2	6	0	8	1	1	0	1	3	1	1	1	2	2	2	2	1	2	2	1	2	2	3	2	2	2	2	2	2	2	0
1	2	6	0	8	1	1	0	1	2	1	1	1	2	2	2	2	1	2	2	1	2	2	3	2	2	2	2	2	2	2	0
4	2	1	0	25	1	1	0	3	3	1	1	1	2	1	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	0	0
4	2	2	0	12	1	1	0	1	2	1	1	1	1	2	2	1	2	2	2	2	2	2	1	2	1	2	2	2	2	1	1
1	2	2	0	18	1	1	1	5	1	1	1	1	1	2	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	0	0
1	2	2	0	8	1	1	0	1	2	10	1	1	2	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	0
1	2	2	0	1	1	1	0	1	1	10	1	1	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	0	0
1	2	4	0	35	1	1	0	4	1	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	2	2	2	2	2	0	1
4	2	3	0	12	2	2	0	1	1	4	1	1	1	2	1	1	2	2	1	2	2	1	1	2	2	2	2	2	2	1	1
1	2	6	0	1	1	1	0	4	2	1	1	1	2	2	2	1	1	2	2	2	1	2	3	2	2	2	2	2	2	0	0
3	3	2	0	12	2	2	0	1	1	1	1	1	2	2	1	2	3	2	1	2	2	2	1	2	1	2	2	2	2	1	1
1	3	3	0	34	1	1	0	4	1	1	1	1	1	2	1	2	1	2	2	2	1	2	1	2	2	2	2	2	2	0	1
4	3	6	0	12	2	2	0	1	3	2	1	1	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1
2	3	3	0	42	1	1	0	4	1	2	2	1	1	2	1	1	1	2	1	2	2	2	2	2	1	2	2	2	2	0	0
1	3	2	0	8	1	1	0	1	2	2	1	1	1	2	2	1	1	2	2	1	2	2	3	1	2	2	2	2	2	2	0
1	3	4	0	42	1	1	0	4	2	1	1	1	2	2	2	1	1	2	2	2	2	2	1	2	2	2	2	2	2	0	1
2	3	6	0	8	1	1	0	1	3	10	1	1	2	2	2	1	2	2	2	1	2	2	3	2	2	2	2	2	2	2	0
4	3	3	0	12	2	2	0	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	3	1	2	2	2	2	2	1	0
3	3	2	0	1	2	3	0	1	2	1	1	1	2	2	2	2	2	1	2	2	2	2	3	1	2	2	2	2	2	1	0
3	3	1	0	12	1	1	0	1	3	2	2	1	2	1	2	2	3	2	1	2	2	2	3	2	2	2	2	2	2	1	0
1	3	4	0	42	3	3	0	4	1	1	1	1	1	2	1	1	1	2	1	2	2	2	1	2	2	2	2	2	2	0	1
2	2	3	0	12	1	1	0	1	1	10	2	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0
1	2	6	0	8	8	1	0	1	3	10	1	1	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	0
1	3	4	0	32	1	1	0	4	1	10	1	1	1	2	1	1	1	2	2	2	1	2	3	1	2	2	2	2	2	0	0
2	3	4	0	1	1	1	0	4	2	1	1	1	1	2	2	2	1	2	1	2	1	2	1	1	2	2	2	2	2	0	1
2	2	4	0	53	1	1	0	4	2	1	1	1	1	2	2	2	1	2	1	2	2	2	1	2	2	2	2	1	2	0	1
3	3	4	0	12	2	2	0	1	1	10	2	1	1	2	1	1	2	2	2	2	2	2	3	2	1	2	2	2	2	1	0
1	3	2	0	42	1	1	0	4	2	2	1	1	1	2	2	1	1	2	1	2	2	2	1	2	2	2	2	2	2	0	1
2	3	2	0	12	1	1	0	1	2	2	1	1	1	2	2	1	2	2	2	2	2	1	3	2	2	2	2	2	2	1	1
3	3	3	0	12	1	1	0	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	1	0
3	3	3	0	12	1	1	0	1	1	5	1	1	1	2	1	2	3	2	2	2	2	2	3	2	2	1	2	2	2	1	0
1	3	3	0	42	1	1	0	4	1	10	1	1	1	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	0	0
2	3	4	0	35	1	1	0	4	2	1	1	1	1	2	2	1	1	2	1	2	1	2	1	2	2	1	2	2	2	0	1
1	3	3	0	42	1	1	0	4	2	1	1	1	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	0	0
2	4	1	0	8	1	1	0	1	2	1	1	1	2	1	2	2	1	2	2	1	2	2	3	2	2	2	2	2	2	2	0
2	4	1	0	12	1	1	0	1	2	1	1	1	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1
1	3	1	0	1	1	1	0	1	2	10	1	1	1	1	2	2	1	2	2	2	1	2	3	2	2	2	2	2	1	0	0
3	3	1	0	12	1	1	0	1	2	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	0
5	3	1	0	12	1	1	0	1	2	10	1	1	1	1	2	1	2	2	2	1	2	2	2	2	2	1	2	2	2	1	0
2	3	3	0	30	1	1	0	4	3	1	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	1
2	3	2	0	12	1	1	0	1	2	10	1	1	1	2	2	2	2	2	2	2	2	2	3	2	1	1	2	2	2	1	0
2	3	2	0	12	1	1	0	1	1	10	1	1	1	2	1	1	2	2	1	2	2	2	3	2	2	2	2	2	2	1	0
3	3	3	0	12	1	1	0	1	1	1	1	1	2	2	1	2	2	1	1	2	2	1	3	2	2	1	2	2	2	1	0
1	3	4	0	34	1	1	0	4	1	10	1	1	1	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0	0
3	3	4	0	12	2	2	0	1	1	1	1	1	1	2	1	1	2	2	2	2	1	2	2	2	1	2	2	2	2	1	0
1	3	6	0	8	3	2	0	1	1	1	1	1	2	2	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	0
4	3	4	0	38	1	1	0	5	1	1	2	1	1	2	1	1	1	2	2	2	2	2	2	1	2	2	2	2	2	0	0
2	3	3	0	12	1	1	0	1	1	1	1	1	1	2	1	1	2	2	2	2	1	2	3	2	2	2	2	2	2	1	0
5	3	3	0	12	2	2	0	1	6	10	2	1	1	2	2	2	2	2	2	2	2	2	3	2	1	1	2	2	2	1	0
1	3	4	0	8	1	1	0	1	2	1	1	1	1	2	2	2	1	2	1	1	2	2	3	2	2	2	1	2	2	2	0
3	3	6	0	12	2	3	0	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	3	2	2	1	2	2	2	1	0
3	3	2	0	12	1	1	0	1	1	10	1	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0
2	3	4	0	8	1	1	0	1	2	1	1	1	1	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	0
3	3	6	0	12	2	2	0	1	3	1	1	1	2	2	2	1	2	2	2	2	2	2	3	2	2	2	2	2	1	1	0
2	3	4	0	12	8	1	0	1	1	10	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0
2	3	2	0	12	2	3	0	1	2	10	1	1	1	2	2	2	2	2	2	2	2	2	3	1	2	2	2	2	2	1	0
3	3	4	0	12	1	1	0	1	2	10	1	1	1	2	2	2	3	2	1	2	2	2	1	2	2	2	2	2	2	1	1
2	3	4	0	42	1	1	0	4	2	1	1	1	1	2	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	0	1
2	3	6	0	8	1	1	0	1	5	1	1	1	2	2	2	1	1	2	2	1	2	2	2	2	2	1	2	2	2	2	0
4	4	3	0	12	1	1	0	1	2	1	1	1	2	2	2	2	3	2	2	2	1	2	3	1	1	2	2	2	2	1	0
4	4	3	0	12	1	1	0	1	1	10	1	1	2	2	1	1	3	2	2	2	1	2	3	2	2	1	2	2	2	1	0
3	4	4	0	12	1	1	0	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1
2	3	4	0	42	1	1	0	5	2	1	2	1	1	2	2	2	1	1	2	2	2	2	3	2	2	2	2	2	2	0	1
4	3	6	0	12	3	2	0	1	3	1	1	1	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1
3	3	3	0	12	2	2	1	1	3	1	1	1	2	2	2	1	2	1	2	2	2	1	3	2	2	2	2	2	2	1	0
4	3	6	0	12	1	1	0	1	2	1	1	1	1	2	2	2	3	2	2	2	2	2	1	2	2	2	1	2	2	1	1
2	4	4	0	12	1	1	0	1	1	1	1	1	1	2	1	1	2	2	1	2	1	2	2	2	2	2	2	2	2	1	0
2	4	4	0	8	1	1	0	4	1	1	1	1	1	2	1	1	1	2	2	1	2	2	2	2	2	2	1	2	2	0	0
1	4	3	0	42	1	1	0	4	5	10	1	1	1	2	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2	0	1
2	4	3	0	12	1	1	0	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	3	2	1	2	2	2	2	1	0
1	4	3	0	34	1	1	0	4	1	1	1	1	1	2	1	2	1	2	2	2	2	2	1	2	1	2	2	2	2	0	1
2	4	3	0	12	1	1	0	1	4	10	1	1	1	2	1	1	2	2	2	2	1	2	3	2	2	2	2	2	2	1	0
6	4	2	0	12	1	1	0	1	1	2	1	1	1	2	1	1	3	2	2	2	2	2	3	2	1	1	2	2	2	1	0
3	3	3	0	33	1	1	0	4	2	1	1	1	2	2	2	1	2	2	2	2	1	2	3	2	2	1	2	2	2	0	0
1	4	1	0	52	1	1	0	4	1	1	1	1	2	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	0	0
2	3	1	0	25	1	1	0	3	3	1	1	1	2	1	2	1	2	2	2	2	1	2	3	2	2	2	2	2	2	1	0
3	4	4	0	12	1	1	0	1	5	2	1	1	1	2	1	1	2	2	2	2	2	2	3	1	2	2	2	2	2	1	0
1	2	3	0	42	1	1	0	4	1	1	1	1	1	2	1	1	1	2	2	2	2	2	3	2	2	2	2	2	2	0	0
1	3	6	0	8	3	3	0	1	3	1	1	1	2	2	2	2	1	2	2	1	2	2	3	2	2	2	2	2	2	2	0
3	3	2	0	12	2	3	0	1	1	1	1	1	2	2	1	1	2	2	2	2	1	2	3	2	1	2	2	2	2	1	0
1	4	6	0	8	2	3	0	1	2	1	1	1	2	2	1	1	1	2	2	1	2	2	3	2	2	2	1	2	2	2	0
2	4	2	0	12	2	2	0	1	3	10	1	1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	1	0
2	4	4	0	42	1	1	0	4	1	1	1	1	1	2	1	1	1	2	1	2	2	2	3	2	2	2	2	2	2	0	0
3	4	2	0	12	1	1	0	1	1	2	2	1	1	2	1	1	2	2	1	2	2	2	3	2	1	2	2	2	2	1	0
1	4	6	0	42	3	3	0	4	3	10	1	1	2	2	2	1	1	2	1	2	2	2	1	2	2	1	2	2	2	0	1
1	4	4	0	53	1	1	0	4	2	10	1	1	1	2	2	2	1	2	1	2	2	2	1	2	2	1	2	1	2	0	1
2	4	3	0	42	3	3	0	4	2	1	1	1	2	2	2	2	1	2	2	2	2	2	3	2	2	2	2	2	2	0	1
3	4	3	0	12	2	2	0	1	1	2	1	1	1	2	1	1	2	2	2	2	2	2	3	1	2	1	2	2	2	1	0
4	4	2	0	12	2	2	0	1	3	1	1	1	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	0
2	4	4	0	12	1	1	0	1	2	5	1	1	1	2	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	0
5	4	2	0	12	1	1	0	1	2	1	1	1	1	2	2	2	2	2	2	2	1	2	1	2	2	1	2	2	2	1	1
2	4	3	0	12	8	1	0	1	2	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	0
2	4	3	0	42	1	1	0	4	1	1	1	1	1	2	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	0	0
1	4	3	0	30	3	3	0	4	1	10	1	1	1	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0	0
4	4	3	0	12	8	1	0	1	3	2	1	1	1	2	2	1	2	2	2	2	2	2	3	2	2	2	2	2	2	1	0
1	4	3	0	8	1	1	0	1	2	2	1	1	2	2	2	2	1	2	2	1	2	2	3	2	2	2	1	2	2	2	0
2	4	2	0	12	2	2	0	1	1	10	1	1	2	2	1	2	2	1	2	2	2	2	3	2	1	2	2	2	2	1	0
5	4	2	0	12	1	1	0	1	2	10	2	1	1	2	2	2	3	2	2	2	2	2	2	1	2	2	2	2	2	1	0
1	4	3	0	32	1	1	0	4	2	10	1	1	1	2	2	2	1	2	1	2	1	2	2	1	2	2	2	1	2	0	0
2	4	4	0	12	2	3	0	1	1	10	1	1	1	2	1	2	2	2	1	2	2	2	3	2	1	2	2	2	2	1	0
1	4	2	0	8	1	1	0	1	3	10	1	1	2	2	2	2	1	2	2	1	2	2	3	2	2	1	2	2	2	2	0
1	4	4	0	32	1	1	0	4	1	1	1	1	1	2	1	1	1	2	1	2	1	2	1	2	2	2	2	2	2	0	1
3	4	4	0	35	1	1	0	4	1	1	1	1	1	2	1	1	1	2	1	2	1	2	2	2	1	2	2	2	2	0	0
2	4	4	0	42	1	1	0	4	2	1	1	1	1	2	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2	0	1
4	4	4	0	12	1	1	0	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1
3	4	3	0	12	1	1	0	1	1	1	1	1	1	2	1	2	2	2	2	2	1	2	2	1	1	2	2	2	1	1	0
6	4	1	0	12	1	1	0	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	3	2	1	2	2	2	2	1	0
2	4	1	0	1	1	1	0	3	2	2	1	1	1	1	2	2	1	2	2	2	1	2	1	2	2	2	2	2	2	0	1
1	4	1	0	1	1	1	0	3	1	1	1	1	2	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	0	0
4	4	4	0	12	1	1	0	1	1	2	1	1	1	2	1	1	2	2	2	2	2	2	3	1	1	2	2	2	2	1	0
2	4	4	0	12	2	3	0	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	1
3	4	6	0	12	2	2	0	1	1	1	2	1	2	2	1	1	2	2	1	2	2	2	3	2	1	2	2	2	2	1	1
1	4	4	0	42	1	1	1	4	2	10	1	1	1	2	2	2	1	2	2	2	1	2	1	2	2	2	2	2	2	0	1
2	4	2	0	12	8	1	0	1	3	10	1	1	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1
3	4	4	0	12	2	2	0	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	3	2	1	2	2	2	2	1	0
5	4	4	0	12	1	1	0	1	1	10	2	1	1	2	1	1	2	2	2	2	2	2	3	1	2	1	2	2	2	1	0
4	4	3	0	12	2	2	0	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	3	2	2	2	2	2	2	1	0
1	4	3	0	32	1	1	0	4	2	1	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	0	0
2	4	1	0	12	1	1	0	1	2	1	1	1	1	1	2	1	2	2	2	2	1	2	3	2	2	2	2	2	2	1	0
2	4	1	0	12	1	1	0	1	2	10	1	1	1	1	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2	1	1
3	5	1	0	1	19	1	0	3	2	1	1	1	1	1	2	2	1	2	1	2	1	2	2	2	2	2	2	2	2	0	0
2	5	1	0	52	1	1	0	3	2	1	1	1	2	1	2	1	1	2	2	2	1	2	1	2	2	2	2	2	2	0	1
2	4	3	0	8	1	1	0	1	3	1	1	1	2	2	2	1	1	2	2	1	2	2	3	2	2	2	2	2	2	2	0
2	4	2	0	12	1	1	0	1	3	2	1	1	2	2	2	1	2	2	1	2	2	2	3	1	2	2	2	2	2	1	0
1	4	3	0	8	1	1	0	1	2	10	1	1	2	2	2	1	1	2	2	1	2	2	3	1	2	2	2	2	2	2	0
2	4	4	0	12	2	2	0	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	2	1	2	2	2	1	2	1	0
1	4	2	0	1	1	1	0	5	1	10	1	1	2	2	2	2	1	2	1	2	1	2	3	2	1	2	2	2	2	0	0
2	4	4	0	12	2	2	0	1	1	1	1	1	1	2	1	1	2	2	2	2	1	2	3	2	1	2	2	2	2	1	0
1	4	2	0	52	1	1	0	3	1	1	1	1	2	2	1	1	1	2	2	2	1	2	3	2	2	2	2	2	2	0	0
3	4	3	0	12	1	1	0	1	2	1	2	1	1	2	2	1	2	2	1	2	2	2	3	2	2	2	2	2	2	1	0
3	4	2	0	12	2	2	0	1	2	1	1	1	2	2	2	1	2	1	2	2	2	2	1	1	2	2	2	2	2	1	1
1	5	6	0	33	1	1	0	4	3	1	1	1	2	2	2	2	1	1	2	2	2	2	3	2	2	1	2	2	2	0	0
5	5	6	0	1	3	3	0	4	1	1	1	1	2	2	1	2	1	2	2	2	1	2	2	2	2	1	2	2	2	0	0
1	5	3	0	38	1	1	0	4	2	1	1	1	1	2	2	2	1	2	1	2	1	2	1	2	2	1	2	2	2	0	1
3	5	2	0	12	1	1	2	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	3	2	1	2	2	2	2	1	0
6	5	3	0	12	1	1	0	1	1	1	2	1	2	2	1	1	2	2	2	2	2	2	3	2	2	2	2	2	2	1	0
1	5	4	0	42	1	1	0	4	5	1	1	1	1	2	2	1	1	2	2	2	1	2	2	1	2	2	2	1	2	0	0
2	5	4	0	42	1	1	0	4	1	1	1	1	1	2	1	1	1	2	1	2	1	2	2	2	2	2	2	2	2	0	0
3	5	3	0	24	1	1	0	4	1	1	2	1	1	2	1	1	2	2	2	2	2	2	3	1	2	2	2	2	2	1	0
7	5	2	0	12	3	3	0	1	3	1	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	1	1
1	5	3	0	8	1	1	0	1	2	1	1	1	2	2	2	1	1	2	2	1	2	2	3	2	1	2	2	2	2	2	0
2	4	6	0	12	2	3	0	1	3	1	1	1	2	2	2	1	2	2	2	2	1	2	1	2	2	2	2	2	2	1	1
2	5	2	0	34	1	1	0	4	1	1	1	1	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	0	0
1	5	6	0	1	1	1	0	4	1	1	1	1	2	2	1	1	1	2	2	2	1	2	3	2	2	2	2	2	2	0	0
1	5	4	0	53	1	1	0	4	1	1	1	1	1	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	0
3	5	2	0	12	1	1	0	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0
2	5	1	0	42	1	1	0	4	1	1	1	1	2	1	1	2	1	2	2	2	1	2	3	2	2	1	2	2	2	0	0
