"","PERMVIT","MONTH","ROUTE","SP_JUR","HARM_EV","RELJCT2","TYP_INT","WRK_ZONE","REL_ROAD","LGT_COND","WEATHER","FATALS","STATE","A_RU","A_INTER","A_TOD","A_DOW","A_CT","A_MC","A_SPCRA","A_PED","A_ROLL","A_POLPUR","A_POSBAC","A_D15_20","A_D65PLS","A_D21_24","A_HR","A_DIST","A_DROWSY","drunkDr"
"47",1,2,6,0,32,1,1,0,4,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0
"48",3,2,2,0,35,1,1,0,4,2,2,1,1,1,2,1,2,1,2,2,2,1,2,3,2,2,2,2,2,2,0
"49",2,2,2,0,12,1,1,0,1,5,1,1,1,1,2,1,1,2,1,2,2,2,2,3,2,2,2,2,2,2,0
"50",1,2,2,0,8,1,1,0,1,2,1,1,1,2,2,2,1,1,2,2,1,2,2,3,2,2,2,1,2,2,0
"51",1,2,2,0,59,1,1,0,4,2,1,1,1,1,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,1
"52",3,2,3,0,12,1,1,0,1,2,1,1,1,1,2,1,1,3,2,1,2,1,2,3,1,1,2,2,2,2,0
"53",3,2,3,0,1,8,1,0,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,3,2,2,2,2,2,2,0
"54",1,2,3,0,8,1,1,0,1,2,1,1,1,1,2,2,1,1,2,2,1,2,2,3,2,2,2,2,2,2,0
"55",7,2,6,0,12,1,1,0,1,2,10,1,1,1,2,1,1,2,2,2,2,2,2,3,1,2,2,2,2,2,0
"56",3,2,3,0,1,1,1,0,1,2,1,1,1,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,1
"57",3,2,2,0,1,1,1,0,4,2,1,1,1,2,2,2,2,1,2,2,2,1,2,3,2,2,2,2,2,2,1
"58",1,2,1,0,8,1,1,0,1,2,1,1,1,2,1,2,1,1,2,2,1,2,2,3,2,2,2,2,2,2,0
"59",2,1,4,0,12,1,1,0,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,0
"60",2,2,6,0,42,1,1,0,3,3,10,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1
"61",8,2,3,0,12,1,1,0,1,1,1,1,1,2,2,1,1,3,2,2,2,2,2,3,1,1,2,2,2,2,0
"62",1,2,4,0,1,1,1,0,4,2,1,1,1,1,2,2,2,1,2,1,2,1,2,3,2,2,2,2,2,2,0
"63",2,2,2,0,8,1,1,0,1,3,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,2,2,1
"64",1,2,4,0,34,1,1,0,4,2,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1
"65",4,2,3,0,12,1,1,0,1,6,3,1,1,2,2,2,2,2,2,1,2,2,2,3,1,2,2,2,2,2,0
"66",1,2,6,0,8,1,1,0,1,3,1,1,1,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,2,2,0
"67",1,2,6,0,8,1,1,0,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,2,2,0
"68",4,2,1,0,25,1,1,0,3,3,1,1,1,2,1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,0
"69",4,2,2,0,12,1,1,0,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1
"70",1,2,2,0,18,1,1,1,5,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,0
"71",1,2,2,0,8,1,1,0,1,2,10,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,0
"72",1,2,2,0,1,1,1,0,1,1,10,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,0
"73",1,2,4,0,35,1,1,0,4,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,2,2,2,2,1
"74",4,2,3,0,12,2,2,0,1,1,4,1,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,1
"75",1,2,6,0,1,1,1,0,4,2,1,1,1,2,2,2,1,1,2,2,2,1,2,3,2,2,2,2,2,2,0
"76",3,3,2,0,12,2,2,0,1,1,1,1,1,2,2,1,2,3,2,1,2,2,2,1,2,1,2,2,2,2,1
"77",1,3,3,0,34,1,1,0,4,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1
"78",4,3,6,0,12,2,2,0,1,3,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1
"79",2,3,3,0,42,1,1,0,4,1,2,2,1,1,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,0
"80",1,3,2,0,8,1,1,0,1,2,2,1,1,1,2,2,1,1,2,2,1,2,2,3,1,2,2,2,2,2,0
"81",1,3,4,0,42,1,1,0,4,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1
"82",2,3,6,0,8,1,1,0,1,3,10,1,1,2,2,2,1,2,2,2,1,2,2,3,2,2,2,2,2,2,0
"83",4,3,3,0,12,2,2,0,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,3,1,2,2,2,2,2,0
"84",3,3,2,0,1,2,3,0,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,3,1,2,2,2,2,2,0
"85",3,3,1,0,12,1,1,0,1,3,2,2,1,2,1,2,2,3,2,1,2,2,2,3,2,2,2,2,2,2,0
"86",1,3,4,0,42,3,3,0,4,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1
"87",2,2,3,0,12,1,1,0,1,1,10,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"88",1,2,6,0,8,8,1,0,1,3,10,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,0
"89",1,3,4,0,32,1,1,0,4,1,10,1,1,1,2,1,1,1,2,2,2,1,2,3,1,2,2,2,2,2,0
"90",2,3,4,0,1,1,1,0,4,2,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1,2,2,2,2,2,1
"91",2,2,4,0,53,1,1,0,4,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,1
"92",3,3,4,0,12,2,2,0,1,1,10,2,1,1,2,1,1,2,2,2,2,2,2,3,2,1,2,2,2,2,0
"93",1,3,2,0,42,1,1,0,4,2,2,1,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1
"94",2,3,2,0,12,1,1,0,1,2,2,1,1,1,2,2,1,2,2,2,2,2,1,3,2,2,2,2,2,2,1
"95",3,3,3,0,12,1,1,0,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,0
"96",3,3,3,0,12,1,1,0,1,1,5,1,1,1,2,1,2,3,2,2,2,2,2,3,2,2,1,2,2,2,0
"97",1,3,3,0,42,1,1,0,4,1,10,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0
"98",2,3,4,0,35,1,1,0,4,2,1,1,1,1,2,2,1,1,2,1,2,1,2,1,2,2,1,2,2,2,1
"99",1,3,3,0,42,1,1,0,4,2,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,0
"100",2,4,1,0,8,1,1,0,1,2,1,1,1,2,1,2,2,1,2,2,1,2,2,3,2,2,2,2,2,2,0
"101",2,4,1,0,12,1,1,0,1,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1
"102",1,3,1,0,1,1,1,0,1,2,10,1,1,1,1,2,2,1,2,2,2,1,2,3,2,2,2,2,2,1,0
"103",3,3,1,0,12,1,1,0,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,0
"104",5,3,1,0,12,1,1,0,1,2,10,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,0
"105",2,3,3,0,30,1,1,0,4,3,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"106",2,3,2,0,12,1,1,0,1,2,10,1,1,1,2,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,0
"107",2,3,2,0,12,1,1,0,1,1,10,1,1,1,2,1,1,2,2,1,2,2,2,3,2,2,2,2,2,2,0
